deep_id,bib_ind_and_in_coll,title,title_alternative_keywords,pub_year,pub_year_display,first_production_date,first_production_date_display,first_publish_date,record_type,theater_type,greg_number,stc_or_wing,stc_or_wing2,play_edition_number,book_edition_number,variant_description,edition,total_editions,leaves,illustration_on_tp_or_frontis,dedication_to,commendatory_verses_by,to_the_reader,argument,char_list,actor_list,blackletter,latin,addition_and_correction_attributions,other_paratexts,sr_entries,format,additional_notes,transcript_title,transcript_author,transcript_performance,transcript_latin,transcript_imprint,transcript_explicit,transcript_colophon,transcript_dedication,transcript_commendatory_verses,transcript_to_the_reader,transcript_printed_license,transcript_general_title,transcript_woodcut,transcript_character_list,transcript_actor_list,transcript_argument,transcript_modern_spelling,display_play_type,display_authors,display_genre,display_booksellers,display_printers,display_publishers,display_companies,display_auspices,errata,imprintlocation
1,,"Hycke Scorner","Hick Hicke Skorner",1515,[1515?],1513,"1513 [c.1513-1516]",1515,"Single-Play Playbook",None,3a,14039,,1,1,,Q1,"3 quartos",18,"Four woodcuts on title page: laborers, a man wearing a sword; an elephant; a prince",,,,,,,Yes,,,"Six woodcuts of characters with their names in labels [A1v]","Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,,"Hycke scorner.",,,,,,"Enprynted by me Wynkyn de Worde. [C6v]",,,,,,,,,,"Hycke scorner",Interlude,Anonymous,"Moral Interlude",,"Worde, Wynkyn de",,,,,
2,,"Hycke Scorner","Hick Hicke",1530,[1530?],1513,"1513 [c.1513-1516]",1515,"Single-Play Playbook",None,3b,14039.5,,2,2,,Q2,"3 quartos","[imperfect copy]",,,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,"Imperfect copy: survives in two leaves only.","[no title page]",,,,,,,,,,,,,,,,,Interlude,Anonymous,"Moral Interlude",,"Treveris, Peter",,,,,
3,,"Hycke Scorner","Hick Hicke",1549,[1549?],1513,"1513 [c.1513-1516]",1515,"Single-Play Playbook",None,3c,14040,,3,3,,Q3,"3 quartos",20,"Four woodcuts on title page: one of two men in a room at top, three of figures below (two with blank labels)",,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates the edition to ""1549?"" and identifies the printer of this edition as the printer of <i>An Envoy from Thomas Smyth</i> (STC 22880.2) (Appendix K, 2:1047).","Hycke scorner.",,,,,"Thus endeth the enterlude of Hycke scorner. [E4r]","Imprinted at London in Foster laene by Iohñ Waley. [E4r]",,,,,,,,,,"Hycke scorner",Interlude,Anonymous,"Moral Interlude",,[unknown],"Walley, John",,,,"G.3 (Aldersgate Within - Foster Lane)"
4,,"The Summoning of Everyman",,1518,[1518?],1519,c.1519,1518,"Single-Play Playbook",None,4a,10604,,1,1,,Q1,"4 quartos","16 (?) [imperfect copy]",,,,,,,,Yes,,,,,Quarto,"Imperfect copy: survives in four leaves only. In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1518?"" (Appendix K, 2:1045). STC dates the first edition to c.1515.","[no title page]",,,,,,"Imprynted at London in Fletestrete at the Sygne of the George by Rycharde Pynson/ prynter vnto the King[e]s noble grace. [C4v] ",,,,,,,,,,,Interlude,Anonymous,Morality,,"Pynson, Richard",,,,,"W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)"
5,,"The Summoning of Everyman",,1527,[1526-28?],1519,c.1519,1518,"Single-Play Playbook",None,4b,10604.5,,2,2,,Q2,"4 quartos","16 (?) [imperfect copy]",,,,,,,,Yes,,,,,Quarto,"Imperfect copy: lacks gathering A. In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney estimates the date of this edition to be ""1527?"" (Appendix K, 2:1045).","[no title page]",,,,,,"Imprynted at London in Fletestrete/ by me Rycharde Pynson/ prynter to the kynges most noble grace. [C4v] ",,,,,,,,,,,Interlude,Anonymous,Morality,,"Pynson, Richard",,,,,"W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)"
6,,"The Summoning of Everyman",,1529,[1529],1519,c.1519,1518,"Single-Play Playbook",None,4c,10606,,3,3,,Q3,"4 quartos",16,"Two woodcuts on title page, one of a man (with blank label), one of death",,,,,,,Yes,,,,,Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1529"" (Appendix K, 2:1045).","Here begynneth a treatyse how y<sup>e</sup> hye fader of heuen sendeth dethe to somon euery creature to come and gyue a counte of theyr lyues in this worlde and is in maner of a morall playe.",,,,,"Thus endeth this morall playe of euery man. [C4v]","Imprynted at London in Poules chyrche yarde by me Iohñ Skot. [C4v]",,,,,,,,,,"Here beginneth a treatise how the high father of heaven sendeth death to summon every creature to come and give account of their lives in this world and is in manner of a moral play.",Interlude,Anonymous,Morality,,"Skot, John",,,,,"B (Paul's Churchyard - Unlocated)"
7,,"The Summoning of Everyman",,1534,[1534?],1519,c.1519,1518,"Single-Play Playbook",None,4d,10606.5,,4,4,,Q4,"4 quartos",16,"Two woodcuts on title page, one of a man (with ""Eueryman"" in label), one of death",,,,,,,Yes,,,"Five woodcuts of six characters, with their names in labels [A1v]",,Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1534?"" (Appendix K, 2:1045).","Here begynneth a treatyse how the hye fader of heuen sendeth dethe to somon euery creature to come and gyue a counte of theyr lyues in this worlde and is in maner of a morall playe.",,,,,,,,,,,,,,,,"Here beginneth a treatise how the high father of heaven sendeth death to summon every creature to come and give account of their lives in this world and is in manner of a moral play. ",Interlude,Anonymous,Morality,,"Skot, John",,,,,
8,,"The World and the Child (Mundus et Infans)",,1522,1522,1508,"1508 [c.1500-1522]",1522,"Single-Play Playbook",None,5a,25982,,1,1,,Q1,"1 quarto",18,"Woodcut of prince on title page with label above, ""Mundus.""",,,,,,,Yes,Yes,,,,Quarto,"Brackets in the title in original.","Here begynneth a propre newe Interlude of the worlde and the chylde/ otherwyse called [Mundus & Infans] & it sheweth of the estate of Chyldehode and Manhode. Mundus.",,,,,"Here endeth the Interlude of Mundus & Infans. [C8v]","Imprynted at London in Fletestrete at the signe of y<sup>e</sup> Soñe by me Wynkyn de worde. The yere of our Lorde M.CCCCC. and .xxii. The .xvij. daye of Iuly. [C8v] ",,,,,,,,,,"Here beginneth a proper new interlude of the world and the child otherwise called mundus and infans and it showeth of the estate of childhood and manhood. Mundus.",Interlude,Anonymous,"Moral Interlude",,"Worde, Wynkyn de",,,,,"W.5 (Fleet St. - Conduit / Salisbury Court)"
9,,"The Nature of the Four Elements (Natura Naturata)",,1520,[1520?],1517,"1517 [c.1517-c.1518]",1520,"Single-Play Playbook",None,6a,20722,,1,1,,Oc1,"1 octavo","[imperfect copy]",,,,,Yes,Yes,,Yes,,,,,Octavo,"Imperfect copy: lacks gathering D, and all after E.","[HT] A new iuterlude and a mery of the nature of the .iiii. elementes declarynge many proper poyntes of phylosophy naturall/ and of dyuers straunge landys/ and of dyuers straunge effectes & causis/",,"whiche interlude yf y<sup>e</sup> hole matter be playde wyl conteyne the space of an hour and a halfe/ but yf ye lyst ye may leue out muche of the sad mater as the messengers p[ar]te and some of naturys parte and some of experyens p[ar]te/ & yet the matter wyl depend conuenyently/ and than it wyll not be paste thre quarters of an hour of length.",,,,,,,,,,,"""Here folow the namys of the pleyers"" [A1r]",,"""Here folow dyuers matters whiche be in this interlude conteynyd"" [A1r]","A new interlude and a merry of the nature of the four elements declaring many proper points of philosophy natural and of divers strange lands and of divers strange effects and causes. Which interlude if the whole matter be played will contain the space of an hour and a half but if ye list ye may leave out much of the sad matter as the messenger's part and some of nature's part and some of experience's part and yet the matter will depend conveniently and then it will not be past three quarters of an hour of length.",Interlude,"Rastell, John","Moral Interlude",,"Rastell, John",,,,,
10,,"Temperance and Humility (Disobedience, Temperance, and Humility)",,1528,[c.1528],1535,"1535 [c.1521-1535]",1528,"Single-Play Playbook",None,7a,14109.5,,1,1,,Q1,"1 quarto","[imperfect copy]",,,,,,,,Yes,,,,,Quarto,"Imperfect copy: survives in a single leaf only.","[no title page]",,,,,,,,,,,,,,,,,Interlude,Anonymous,"Moral Interlude",,"Worde, Wynkyn de",,,,,
