stc_or_wing,extracted_stc
14039,1000
14039.5,10000
14040,10002
10604,10003
10604.5,10008
10606,1001
10606.5,10011
25982,10011
20722,10015
14109.5,10017
20721,1002
22607,10020
23894,10021
13298,10023
13299,10029
18793.5,1003
13305,10034
13305.5,1004
13306,10066
13307,10080
13303,10085
13304,10086
20765.5,10100
14111,1015
14111a,10152
14112,10155
13300,10155
13301,1016
13302,10182
14109.7,1020
1305,10227
1306,10228
1279,10230
1287,10248
1288,10250
14109.3,10265
14643,10267
14109.2,10268
14110,10285
22227,10287
22227a,10289
22228,10298
22226,1030
14112.5,1030
14113,1032
25016,10326
25017,10329
13251,1033
22223,1034
14837,10349
14837a,1035
14837a.5,10356
22225,10372
22225,10375
23949,10376
275,1038
18684,10389
18685,10390
17029 (pt. 2),10393
6277,10395
6278,10404
25148,10406
25149,10406
25149.5,10413
22222,10423
24934,10425
22224,10441
22229,10443
24508,10449
24932,1045
24932a,10450
19917,10450
24271,10453
11473,10454
11473.5,10455
11474,10457
14326.5,10460
14327,10465
19865,10466
24935,10467
14085,10470
17466,10473
20287,10474
20287.5,10476
20288,10477
24933,10479
7514,1048
7515,10488
6150,10489
18419,10490
18550,10492
1059,10493
23263,10495
11643a,10498
11643,10500
11643,10503
5592,10504
5592a,10505
25018,10507
2047,10508
16949,10509
11627,10511
11628,10512
5226,10529
11632.5,1053
11990,10532
25966,10533
25966.5,10536
17086,10538
17086.5,10541
17087,10543
19530,10549
17047.5,10552
17048,10558
17048a,10560
17049,10561
25784,10566
25785,10570
19447,10572
19533,10579
7596,10583
13921,10586
not in stc,10588
23895,10589
24286,10590
25783,10591
17428,10595
17428a,10597
18423,10598
7583,10599
17050,10600
19532,10607
14644 (pt. 2),10610
3907.5,10610
3907.7,10611
25764,10612
25764a,10620
17080,10627
17083,10634
733,10638
734,1064
735,10644
735.3,1065
11623,10653
22894,10654
22895,10657
22895a,10660
15086,10665
15087,10675
15088,10678
15089,1068
15089a,10687
15090,10689
15091a,10697
15091,10698
15092,107
15093a,1070
15093,10700
15094,10708
19535,10717
19536,10722
7675,10724
7676,10725
23356,10731
23357,10732
15027,10733
11622,10735
11622a,10737
22328,10738
22329,10740
22330,10746
16679,10752
16680,10753
16681,10755
16681.5,10762
16682,10763
26099,10765
26100,10765
23667,10768
23668,10769
23669,10770
22327,10772
12267,10777
12268,10778
g1828,10781
16678,10783
12265,10784
12266,10785
25781,10787
17084,10794
17085,10797
21009,10798
19531,10799
17441,10806
17437,10808
17438,10812
17439,10814
17439.5,10819
17440,1082
17440a,10820
12310a,10823
12310b,10828
6160,10829
in 6261,10831
17423,10832
25782,10833
20002,10834
21528,10835
19545,10838
21006,10838
21006a,10840
15028,10841a
7501,10843
7502,10844
22307,10848
22308,10852
22309,10854
22310,10855
22311,10858
22312,1086
22313,10865
22313,10869
22314,10872
22315,10874
22316,10877
22317,10877
22318,10878
22319,1088
22320,10881
22321,10884
22322,10886
22323,10887
22324,10888
22325,10891
22325a,10892
22326,10894
17090,10899
22279a,109
22280,1090
22281,10900
22282,10909
22283,10910
22284,10910
22285,10911
22286,10912
22287,10915
4965,10916
3544,10917
3544,10919
13072,1092
13073,10929
13074,10937
12308,10939
22294,1094
22295,10943
18230,10945
18231,10945
18232,1095
18233,10993
18234,10995
18235,10996
not in stc,110
18236,11005
18237,11016
18237.5,11022
18238,11024
18238.5,11029
18239,1103
18240,11032
18241,11033
g1829,11037
25089,11037
12233,11038
5450a,1104
12212,11041
4987,11047
4987,11048
19540,11049
20121.5,1105
20122,11050
6517,11053
14767,11055
14768,11056
14769,11058
17188,11062
22289,11064
22290,11065
22291,11066
18795,11068
18796,11072
22288,11073
22288a,11074
22304,11075
6991,11076
22302,11078
22303,11079
25144,11080
25145,11082
22296,11083
22297,11085
22298,11086
wing s2938,11087
18376,11088
16799,11096
6523,11098
6524,111
6525,11103
6526,11107
6527,11108
d863,1111
14766,11110
7243,11117
7244,11119
7245,11120
17082,11123
18271,11126
18269,11128
14773,11129
14773,11130
26076,11131
12415,11133
12416,11135
17473,11136
17474,11142
14781,11143
22299,11146
22300,11147
22301,1115
17876,11151
21532,11151
21533,11156
5593,11157
5594,11158
5595,11159
5596,11161
5597,11162
5598,11163
5599,11164
5600,11165
16754,11166
6520.7,11167
6521,11169
349,1117
350,11173
22275,11185
22276,11188
22276a,11189
22277,11191
22278,11194
22279,11197
6518,11198
19888,112
19889,1120
6510,11201
6513,11202
6512,11203
17479,11204
17480,11205
17481,11206
6501,11207
6501.5,11210
6502,11211
6503,11212
6504,11213
6504,11214
6505,11221
17429,11231
17430,11238
17431,11240
17432,11241
17433,11248
17434,1125
17435,11250
17435.5,11253
17436,11256
25868,11258
6264,11259
6265,11262
12863,11263
12863a,11273
13527,11276
13527.5,11277
3794,11287
21417,11293
21418,1130
21419,11300
21420,11309
15343,11310
17475,11313
13328,11314
13329,11324
13330,1133
13330a,11332
13331,11332
13332,11333
13333,11335
13334,11336
13335,11338
14782,11339
4970,11340
4971,11341
4972,11344
4973,11346
18279,11346
4963,11352
23405,11363
15085,11369
22333,1137
6239,11370
13336,11372
13336.5,11380
13337,11381
13338,11385
13339,11386
19309,114
19310,11402
4978,11409
6262,11410
12050,11412
12052,11420
12051,11421
12051,11422
18597,11425
17483,11426
17484,11430
17488,11434
17488.3,11435
4339,11443
4340,11448
4340,11449
5194,11450
25818,11454
25819,11455
25820,11456
25821,11458
25822,11460
25823,11463
25823,11464
p2538,11466
6412,11467
6413,11468
6414,11470
4983,11470
4983,11472
4984,11474
4984,11475
14774,11485
4538,11486
24104,11487
24105,11488
24106,11489
24107,11491
24108,11492
t1842,11493
t1843,11496
24063,11499
24063a,115
6532,11503
13317,11505
13318,11509
13319,11511
17892,11517
17893,11521
17890,11522
17891,11523
1692,11524
1693,11525
b1618,11526
b1619,11527
4966,11542
4967,11543
c1941,11545
c1942,11548
c1943,11548
c1944,11550
22380,11553
22381,11564
22382,11564
22383,1157
6417,11571
6417,11576
25635,1158
25636,11583
25637,11587
25638,11589
6539,11591
21531,11592
17487,11593
24149,11593
24150,11594
1466,11595
1466a,11596
22384,11597
22385,11601
22386,1161
22387,11622
6537,11623
6538,11625
6540,11626
13371,11627
13372,11629
14783,11632
14783,11634
17896,11635
17896a,1164
17897,11640
17879,11641
17879a,11643a
7493,11644
7494,11645
7495,11647
7496,11648
7497,11653
m1856,11654
22292,11655
22293,11656
s2957,11657
17907,11658
6416,11659
6411,11662
22340,11663
22341,11665
13360,11666
13361,11667
13361a,11670
13362,11674
13363,11675
17888,11677
17889,11678
17399,1168
17398,11680
17398a,11681
17400,11683
12362,11687
12362,11691a
22331,11693
22332,11695
14778,117
14757,11710
14758,11712
14758,11725
18265,11728
25948,11728
22334,1174
22335,11745
22336,11746
22337,11751
22338,11761
22339,11769
773,1177
17617,11778
17618,1178
11068,11781
11069,11791
11070,11798
f1340,1180
5118,11800
13159,11803a
13529,11817
1502,11819
1502a,1182
1503,11821
24146,11826
24147,11828
13325,1183
18267,11831
18267.5,11832
14759,11836
14760,11838
14760.5,11839
4980,11840
17908,11841
10854,11842a
6184,11843
4994,11850
6530,11852
14755,11853
14763,11860
14764,11862
6507,11869
25178,11870
25179,11872
4989,11879
4613,11879
4613,1188
1663,11881
1664,11882
4981,11884
4981,11885
4982,11895
17903,11896
17904,11897
13310,11900
13310.3,11901
23248,11904
23248a,11905
17476,11908
17476.5,11909
17477,1191
17478,11910
17478a,11911
1674,11912
1675,11914
13365,11919
17625,11920
17625,11927
23658,11928
18274,11929
5673,11930
5674,11935
5675,11937
4539,11939
4539,11944
6257,11946
1355,11947
1356,11948
16,1195
1667,11956
1668,1196
1669,11966
22871,11970
22871a,11977
24100,11978
24101,11980
24102,11982
24103,11985
25981,11987
18275,1199
13321,11990
13322,11991
1686,11992
1687,11993
1688,11994
1689,11995
1690,11999
b1609,12003
b1608a,12007
b1608,12009
18266,12012
12931,12013
12932,12014
12933,12018
21519,12019
21519a,12020
17878,12021
14775,12023
17899,12027
17911,12030
17911a,12033
17912,12041
13617,12046
13618,12047
1803,12048
18278,12049
10851,12050
10852,12056
10853,12059
1677,12059
1676,12061
1678,12062
1679,12066
1680,12067
b1594,12069
b1595,1207
b1595,12071
17887,12072
17902,12073
1670,12091
1671,12092
1672,12092
1673,12095
b1589,12096
4991,12097
23544,12099
1681,121
1681.5,1210
1682,12100
1683,12102
1684,12104
1685,12112
1685.5,12113
b1598,12114
b1598a,12116
4281,12117
17909,12123
17910,12124
23120.5,12125
17895,12126
11074,12131
f1352,12132
f1353,12133
22305,12135
22306,12136
s2939,12138
17644a,12139
17644,12141
17645,12142
m1052,12145
14777,12153
14777,12168
17401,12171
17402,12173
17900,12174
17713,12176
17714,12177
17714a,12178
14782.5,12179
17634,12182
17635,12186
17901,12187
25173,1219
25176,12190
25177,12191
25177a,12193a
14779,12197
17632,12199
17633a,122
17633,12202
25175,12203
18430,12204
18431,12206a
14772,12206a
17882,12207
17883,12212
17885,12216
17884,12219
17898,12221
12963,12223
23696,12224
11995,1223
6493,12233
11163,12234
11163.3,12235
6509,12239
6307,12241
4628,12243
c578,12245
17642,12251
17642,12253
22460,12259
22461,12260
s3493,12261
11541,12262
11542,12264
w2983,12265
6302,12267
6303,12268
22444,12269
22445,12271
17641,12272
17877,12275
19462,12276
6506,12278
17640,12280
17640,12281
17640.5,12285
17640.5,1229
14776,12292
5125,12294
4911.2,12295
4911,12296
6529,12299
22456,12300
22457,12301a
14780,12306
11083,12307
4993,12308
4992,1231
