deep_id,bib_ind_and_in_coll,title,title_alternative_keywords,pub_year,pub_year_display,first_production_date,first_production_date_display,first_publish_date,record_type,theater_type,greg_number,stc_or_wing,stc_or_wing2,play_edition_number,book_edition_number,variant_description,edition,total_editions,leaves,illustration_on_tp_or_frontis,dedication_to,commendatory_verses_by,to_the_reader,argument,char_list,actor_list,blackletter,latin,addition_and_correction_attributions,other_paratexts,sr_entries,format,additional_notes,transcript_title,transcript_author,transcript_performance,transcript_latin,transcript_imprint,transcript_explicit,transcript_colophon,transcript_dedication,transcript_commendatory_verses,transcript_to_the_reader,transcript_printed_license,transcript_general_title,transcript_woodcut,transcript_character_list,transcript_actor_list,transcript_argument,transcript_modern_spelling,display_play_type,display_authors,display_genre,display_booksellers,display_printers,display_publishers,display_companies,display_auspices,errata,imprintlocation
1.0,,Hycke Scorner,Hick Hicke Skorner,1515,[1515?],1513.0,1513 [c.1513-1516],1515,Single-Play Playbook,None,3a,14039,,1,1,,Q1,3 quartos,18,"Four woodcuts on title page: laborers, a man wearing a sword; an elephant; a prince",,,,,,,Yes,,,Six woodcuts of characters with their names in labels [A1v],"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,,Hycke scorner.,,,,,,Enprynted by me Wynkyn de Worde. [C6v],,,,,,,,,,Hycke scorner,Interlude,Anonymous,Moral Interlude,,"Worde, Wynkyn de",,,,,
2.0,,Hycke Scorner,Hick Hicke,1530,[1530?],1513.0,1513 [c.1513-1516],1515,Single-Play Playbook,None,3b,14039.5,,2,2,,Q2,3 quartos,[imperfect copy],,,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,Imperfect copy: survives in two leaves only.,[no title page],,,,,,,,,,,,,,,,,Interlude,Anonymous,Moral Interlude,,"Treveris, Peter",,,,,
3.0,,Hycke Scorner,Hick Hicke,1549,[1549?],1513.0,1513 [c.1513-1516],1515,Single-Play Playbook,None,3c,14040,,3,3,,Q3,3 quartos,20,"Four woodcuts on title page: one of two men in a room at top, three of figures below (two with blank labels)",,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner"".",Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates the edition to ""1549?"" and identifies the printer of this edition as the printer of <i>An Envoy from Thomas Smyth</i> (STC 22880.2) (Appendix K, 2:1047).",Hycke scorner.,,,,,Thus endeth the enterlude of Hycke scorner. [E4r],Imprinted at London in Foster laene by Iohñ Waley. [E4r],,,,,,,,,,Hycke scorner,Interlude,Anonymous,Moral Interlude,,[unknown],"Walley, John",,,,G.3 (Aldersgate Within - Foster Lane)
4.0,,The Summoning of Everyman,,1518,[1518?],1519.0,c.1519,1518,Single-Play Playbook,None,4a,10604,,1,1,,Q1,4 quartos,16 (?) [imperfect copy],,,,,,,,Yes,,,,,Quarto,"Imperfect copy: survives in four leaves only. In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1518?"" (Appendix K, 2:1045). STC dates the first edition to c.1515.",[no title page],,,,,,Imprynted at London in Fletestrete at the Sygne of the George by Rycharde Pynson/ prynter vnto the King[e]s noble grace. [C4v] ,,,,,,,,,,,Interlude,Anonymous,Morality,,"Pynson, Richard",,,,,W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)
5.0,,The Summoning of Everyman,,1527,[1526-28?],1519.0,c.1519,1518,Single-Play Playbook,None,4b,10604.5,,2,2,,Q2,4 quartos,16 (?) [imperfect copy],,,,,,,,Yes,,,,,Quarto,"Imperfect copy: lacks gathering A. In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney estimates the date of this edition to be ""1527?"" (Appendix K, 2:1045).",[no title page],,,,,,Imprynted at London in Fletestrete/ by me Rycharde Pynson/ prynter to the kynges most noble grace. [C4v] ,,,,,,,,,,,Interlude,Anonymous,Morality,,"Pynson, Richard",,,,,W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)
7.0,,The Summoning of Everyman,,1534,[1534?],1519.0,c.1519,1518,Single-Play Playbook,None,4d,10606.5,,4,4,,Q4,4 quartos,16,"Two woodcuts on title page, one of a man (with ""Eueryman"" in label), one of death",,,,,,,Yes,,,"Five woodcuts of six characters, with their names in labels [A1v]",,Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1534?"" (Appendix K, 2:1045).",Here begynneth a treatyse how the hye fader of heuen sendeth dethe to somon euery creature to come and gyue a counte of theyr lyues in this worlde and is in maner of a morall playe.,,,,,,,,,,,,,,,,Here beginneth a treatise how the high father of heaven sendeth death to summon every creature to come and give account of their lives in this world and is in manner of a moral play. ,Interlude,Anonymous,Morality,,"Skot, John",,,,,
8.0,,The World and the Child (Mundus et Infans),,1522,1522,1508.0,1508 [c.1500-1522],1522,Single-Play Playbook,None,5a,25982,,1,1,,Q1,1 quarto,18,"Woodcut of prince on title page with label above, ""Mundus.""",,,,,,,Yes,Yes,,,,Quarto,Brackets in the title in original.,Here begynneth a propre newe Interlude of the worlde and the chylde/ otherwyse called [Mundus & Infans] & it sheweth of the estate of Chyldehode and Manhode. Mundus.,,,,,Here endeth the Interlude of Mundus & Infans. [C8v],Imprynted at London in Fletestrete at the signe of y<sup>e</sup> Soñe by me Wynkyn de worde. The yere of our Lorde M.CCCCC. and .xxii. The .xvij. daye of Iuly. [C8v] ,,,,,,,,,,Here beginneth a proper new interlude of the world and the child otherwise called mundus and infans and it showeth of the estate of childhood and manhood. Mundus.,Interlude,Anonymous,Moral Interlude,,"Worde, Wynkyn de",,,,,W.5 (Fleet St. - Conduit / Salisbury Court)
10.0,,"Temperance and Humility (Disobedience, Temperance, and Humility)",,1528,[c.1528],1535.0,1535 [c.1521-1535],1528,Single-Play Playbook,None,7a,14109.5,,1,1,,Q1,1 quarto,[imperfect copy],,,,,,,,Yes,,,,,Quarto,Imperfect copy: survives in a single leaf only.,[no title page],,,,,,,,,,,,,,,,,Interlude,Anonymous,Moral Interlude,,"Worde, Wynkyn de",,,,,
12.0,,Magnificence,,1531,[1531],1515.0,1515 [1515-1526],1531,Single-Play Playbook,None,11a,22607,,1,1,,F1,1 folio,30,,,,,,Yes,,Yes,,,,,Folio,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1531"" (Appendix K, 2:1055).","Magnyfycence, A goodly interlude and a mery",deuysed and made by mayster Skelton/ poet laureate late deceasyd.,,,,,Cum priuilegio.,,,,,,,"""These be the names of the players"" [H2r]",,,"Magnificence, a goodly interlude and a merry, devised and made my Master Skelton poet laureate late deceased.",Interlude,"Skelton, John",Moral Interlude,,"Treveris, Peter","Rastell, John",,,,
13.0,,Andria,,1520,[c.1520],1520.0,1520 [1516-1533],1520,Single-Play Playbook,None,12a,23894,,1,1,,Q1,1 quarto,26,,,,,,,,Yes,,,,,Quarto,,[HT<sup>2</sup>] The translacyon out of latin into englysh of the furst comedy ... callyd Andria.,"[HT<sup>1</sup>] Terens in englysh.
[HT<sup>2</sup>] of tyrens ",,,,Finis andrie. [D5v],,,,,,,,,,,Terence in English. The translation our of Latin into English of the first comedy of Terence called Andria.,Closet Translation,Anonymous; Terence,Comedy,,"Le Noir, Phillipe (?)",,,,,
