Text,Label
""",""      "",""         "",""            "",""            "",""            THE Firſt part of the Contention betwixt the two famous hou"",""               ſes of Yorke and Lancaſter, with the death of the good Duke Humphrey:"",""            And the baniſhment and death of the Duke of Suffolke, and the Tragical end of the prowd Cardinall of Wincheſter, with the notable Rebellion of Iacke Cade:"",""            "",""            "",""               And the Duke of Yorkes first clayme to the Crowne."",""            "",""   ",Bad
"         LONDON"",""            Printed by Valentine Simmes for Thomas Millington, and are to be ſold at his ſhop vnder S. Peters church in Cornewall: 1600"",""         "",""      "",""      "",""         "",""            "",""            "",""            The firſt part of the Contention of the two famous Houſes of Yorke and Lancaſter, with the death of the good Duke Humphrey."",""            Enter at one doore, King Henry the ſixt, and Humphrey Duke of Gloster, the Duke of Somerſet, the Duke of Buckingham, Cardi",Bad
"nall Bewford, and others."",""            Enter at the other doore, the Duke of Yorke, and the Marqueſſe of Suffolke, and Queene Margaret, and the Earle of Saliſbury and Warwicke."",""            "",""               Suffolke."",""               "",""                  AS by your high imperiall Maieſties command,"",""               I had in charge at my depart for France,"",""               As Procurator for your excellence,"",""               To marry Princes Margaret for your grace,"",""               So in the a",Bad
"uncient famous Citie Towres,"",""               In preſence of the Kings of France & Cyſſile,"",""               The Dukes of Orleance, Calaber, Brittaine, and Alonſon."",""               Seuen Earles, twelue Barons, and then the reuerend Biſhops,"",""               I did performe my taske and was eſpouſde,"",""               And now, moſt humbly on my bended knees,"",""               In ſight of England and her royall Peeres,"",""               Deliuer vp my title in the Queene,"",""               Vnto your gr",Bad
"acious excellence, that are the ſubſtance"",""               Of that great ſhadow I did repreſent:"",""               The ha"",""                     ••••"",""                  ſt gift that euer Marqueſſe gaue,"",""               "",""                  The faireſt Queene that euer King poſſeſt."",""            "",""            "",""               King."",""               Suffolke ariſe."",""               Welcom Queene Margaret to Engliſh Henries Court,"",""               The greateſt ſhew of kindneſſe yet we can beſto",Bad
"w,"",""               Is this kind kiſſe: O gracious God of heauen,"",""               Lend me a heart repleate with thankfulneſſe,"",""               For in this beauteous face thou haſt beſtowd"",""               A world of pleaſures to my perplexed ſoule."",""            "",""            "",""               Queene."",""               Th'exceſſiue loue I beare vnto your grace,"",""               Forbids me to be lauiſh of my tongue,"",""               Leſt I ſhould ſpeake more then beſeemes a woman:"",""           ",Bad
"    Let this ſuffice, my bliſſe is in your liking,"",""               And nothing can make poore Margaret miſerable,"",""               Vnleſſe the frowne of mightie Englands King."",""            "",""            "",""               King."",""               Her lookes did wound, but now ſpeech doth pierce,"",""               Louely Queene Margaret ſit downe by my ſide,"",""               And vnckle Gloſter, and you lordly Peeres,"",""               With one voice welcome my beloued Queene."",""            "",""     ",Bad
"       "",""               All."",""               Long liue Queene Margaret Englands happineſſe."",""            "",""            "",""               Queene."",""               We thanke you all."",""               Sound Trumpets."",""            "",""            "",""               Suffolke."",""               My lord Protector, ſo it pleaſe your grace,"",""               Here are the Articles confirm'd of peace,"",""               Betweene our ſoueraigne and the French King Charles,"",""               Till terme of eigh",Bad
"teene months be full expirde."",""            "",""            "",""               Humphrey."",""               "",""                  Inprimis, It is agreed between the French king Charles, and William de la Poole, Marqueſſe of Suffolk, embaſſador for Henry king of England, that the ſaid Henry ſhal wed and eſpouſe the lady Margaret, daughter to Raynard King of Naples, Cyſſels, and Ieruſalem, and crown her Queen of England, ere the 30. of the next moneth."",""            "",""            "",""               Ite",Bad
"m."",""               It is further agreed between them, that the Dutches of Anioy and of Maine, ſhalbe releaſed and deliuered ouer to the King her ſa."",""               Duke Humprey left it fall▪"",""               "",""            "",""            "",""               Ki."",""               How now vnkle, whats the matter that you ſtay ſo ſodenly."",""            "",""            "",""               Hum."",""               Pardon my Lord, a ſodain qualm came ouer my hart,"",""               "",""                  VVhic",Bad
"h dimmes mine eies that I can ſee no more,"",""               Vnckle of Wincheſter I pray you reade on."",""            "",""            "",""               Cardinal."",""               "",""                  Item, It is further agreed betweene them, that the Dutches of Anioy, and of Maine, ſhal be releaſed and deliuered ouer to the King her father, and ſhe ſent ouer of the King of Englands owne proper coſt and charges without dowry."",""            "",""            "",""               King."",""               They",Bad
" pleaſe vs well, lord Marqueſſe kneel down, we here create thee firſt Duke of Suffolke, and girt thee with the ſword. Coſin of Yorke, we here diſcharge your grace from being Regent in the parts of France, till terme of 18 months be ful expirde."",""               Thankes vnckle Wincheſter, Gloſter, Yorke, and Buckingham, Somerſet, Salſbury, and Warwicke."",""               "",""               VVe thanke you all for this great fauour done,"",""               In entertainement to my princely Queene,"",""   ",Bad
"            Come let vs in, and with all ſpeede prouide"",""               To ſee her Coronation be performde."",""               Exit King, Queene, and Suffolke, and Duke Humphrey ſtaies all the reſt."",""            "",""            "",""               Humph."",""               Braue Peeres of England, Pillers of the ſtate,"",""               To you Duke Humphrey muſt vnfolde his griefe,"",""               VVhat did my brother Henry toyle himſelfe,"",""               And waſte his ſubiects for to conquer France",Bad
"▪"",""               "",""               And did my brother Bedford ſpend his time"",""               To keepe in awe that ſtout vnruly Realme?"",""               And haue not I and mine vnckle Bewford here,"",""               Done all we could to keepe that land in peace?"",""               And is all our labors then ſpent in vaine,"",""               For Suffolke hethe new made duke that rules the roaſt,"",""               Hath giuen away for our King Henries Queene,"",""               The Dutches of Anioy and▪",Bad
" ſame vnto her father."",""               Ah lords, fatall is this mariage canſelling our ſtates,"",""               Reuerſing Monuments of conquered France,"",""               Vndoing all, as none had nere beene done."",""            "",""            "",""               Card."",""               VVhy how now coſin Gloſter, what needes this?"",""               As if our King were bound vnto your will,"",""               And might not do his will without your leaue▪"",""               "",""               "",""           ",Bad
"       Prowd Protector, enuy in thine eies I ſee,"",""               The big ſwolne venome of thy hatefull heart,"",""               That dare preſume gainſt that thy ſoueraigne likes."",""            "",""            "",""               Hum."",""               Nay my Lord, tis not my words that troubles you,"",""               But my preſence, prowd Prelate as thou art:"",""               But ile be gone, and giue thee leaue to ſpeake,"",""               Farewell my Lords, and ſay when I am gone,"",""             ",Bad
"  I prophecied France would be loſt ere long."",""               Exit Duke Humphrey."",""            "",""            "",""               Card."",""               There goes our protector in a rage,"",""               My lords, you know he is my great enemy,"",""               And though he be Protector of the land,"",""               And thereby couers his deceitfull thoughts,"",""               For well you ſee, if he but walke the ſtreetes,"",""               The common people ſwarme about him ſtraight,"",""      ",Bad
"         Crying, Ieſus bleſſe your royall excellence,"",""               With, God preſerue the good Duke Humphrey."",""               And many things beſides that are not knowne,"",""               Which time will bring to light in ſmooth Duke Humphrey,"",""               But I will after him, and if I can,"",""               Ile lay a plot to heaue him from his ſeate."",""               Exit Cardinal."",""            "",""            "",""               Buck."",""               But let vs watch this haughtie Card",Bad
"inall,"",""               Coſen of Somerſet, be rulde by me,"",""               Weele watch Duke Humphrey and the Cardinall too,"",""               And put them from the marke they faine would hit."",""            "",""            "",""               Som."",""               Thanks coſin Buckingham, ioyne thou with me."",""               And both of vs with the Duke of Suffolke,"",""               Weele quickly heaue Duke Humphrey from his ſeate."",""            "",""            "",""               Buck."",""             ",Bad
"  Content, come let vs about it ſtraight,"",""               For either thou or I will be P"",""                     ••••"",""                  ctor."",""               Exit Buckingham and Somerſet."",""            "",""            "",""               Salſb."",""               Pride went before, Ambition followes after,"",""               Whilſt theſe do ſeeke their owne preferments thus,"",""               My lords, let vs ſeeke for our countries good,"",""               Oft haue I heard this haughtie Cardinal"",""   ",Bad
"            Sweare, and forſweare himſelfe, and braue it out,"",""               "",""                  More like a Ruffin then a man of church."",""               Coſen Yorke, the victories thou haſt wonne,"",""               In Ireland, Normandie, and in France,"",""               Hath wonne thee immortall praiſe in England."",""               And thou braue Warwicke, my thrice valiant ſonne,"",""               Thy ſimple plainneſſe and thy houſe-keeping,"",""               Hath wonne thee credite amongſt the",Bad
" couunon ſort,"",""               The reuerence of mine age, and Neuels name,"",""               Is of no little force if I commaund,"",""               Then let vs ioyne all three in one for this,"",""               That good Duke Humphrey may his ſtate poſſeſſe,"",""               But wherefore weepes Warwicke my noble ſonne?"",""            "",""            "",""               War."",""               For griefe that all is loſt that Warwicke wonne."",""               Sonnes. Anioy and Maine, both giuen away at o",Bad
"nce,"",""               Why Warwick did win them, & muſt that then which we won with our ſwords, be giuen away with wordes?"",""            "",""            "",""               Yorke."",""               As I haue read, our Kings of England were woont to haue large dowries with their wiues, but our king Henry giues away his owne."",""            "",""            "",""               Salſb."",""               Come ſonnes, away, and looke vnto the maine."",""            "",""            "",""               War."",""         ",Bad
"      Vnto the Maine, oh father, Maine is loſt,"",""               VVhich Warwicke by maine force did win from France,"",""               Maine chance father you meant, but I meane Maine,"",""               "",""               Which I wil win from France, or els be ſlaine."",""               Exit Salſbury and Warwicke."",""            "",""            "",""               Yorke."",""               "",""                  Anioy and Maine, both giuen vnto the French,"",""               Cold newes for me, for I had hope o",Bad
"f France,"",""               Euen as I haue of fertill England."",""               A day will come when Yorke ſhall claime his owne,"",""               And therefore I will take the Neuels parts,"",""               And make a ſhow of loue to prowd Duke Humphrey:"",""               And when I ſpie aduantage, claime the Crowne,"",""               For thats the golden marke I ſeeke to hit:"",""               Nor ſhall prowd Lancaſter vſurp my right,"",""               Nor hold the ſcepter in his childiſh fiſt,"","" ",Bad
"              Nor weare the Diademe vpon his head,"",""               Whoſe church-like humors fits not for a Crowne:"",""               "",""                  Then Yorke be ſtill a while till time do ſerue,"",""               Watch thou, and wake when others be aſleepe,"",""               To prie into the ſecrets of the ſtate,"",""               Till Henry ſurfeiting in ioyes of loue,"",""               With his new bride, and Englands deare bought Queene,"",""               And Humphrey with the Peeres be fal",Bad
"ne at iarres,"",""               Then will I raiſe aloft the milke-white Roſe,"",""               With whoſe ſweete ſmell the ayre ſhall be perfumde,"",""               And in my Standard beare the Armes of Yorke,"",""               To graffle with the houſe of Lancaſter:"",""               And force perforce, Ile make him yeeld the Crowne,"",""               Whoſe bookiſh rule hath puld faire England downe."",""               Exit Yorke. Enter Duke Humphrey, and Dame Ellanor Cobham his wife."",""            "",",Bad
"""            "",""               Elnor."",""               Why droopes my Lord like ouer ripened corne,"",""               Hanging the head at Cearies plenteous loade?"",""               Whatſeeſt thou Duke Humphrey King Henries Crowne?"",""               Reach at it, and if thine arme be too ſhort,"",""               Mine ſhall lengthen it. Art not thou a Prince,"",""               Vnckle to the King and his Protector?"",""               Then what ſhouldſt thou lacke that might content thy mind?"",""            ",Bad
""",""            "",""               Humph."",""               My louely Nell, far be it from my heart,"",""               To thinke of Treaſons gainſt my ſoueraigne lord,"",""               But I was troubled with a dreame to night,"",""               And God I pray, it do betide no ill."",""            "",""            "",""               Elnor."",""               What drempt my lord? Good Humphrey tel it me,"",""               And ile interpret it, and when thats done,"",""               Ile tell thee then what I di",Bad
"d dreame to night."",""            "",""            "",""               Humph."",""               This night when I was laid in bed, I dreampt that"",""               This my ſtaffe mine Office badge in Court,"",""               Was broke in two, and on the ends were plac'd,"",""               "",""                  "",""                     〈…〉"",""                   of the Cardinall of Wincheſter,"",""               "",""                  "",""                     〈…〉"",""                   "",""                  "",""      ",Bad
"               ••"",""                  lliam de la Poole firſt Duke of Suffolke."",""            "",""            "",""               Elnor."",""               Tuſh my Lord, this ſignifies nought but this,"",""               "",""                  That he that breakes a ſticke of Gloſters groue,"",""               Shall for th'offence make forfeit of his head."",""               But now my lord, ile tell you what I dreampt,"",""               Me thought I was in the Cathedrall Church"",""               At Weſtminſte",Bad
"r, and ſeated in the chaire"",""               Where the Kings and Queenes are crownde, and at my feete"",""               Henry and Margaret with a crowne of gold,"",""               Stood ready to ſet it on my princely head."",""            "",""            "",""               Humph."",""               Fie Nell, ambitious woman as thou art,"",""               Art thou not ſecond woman in this land,"",""               And the Protectors wife, belou'd of him,"",""               And wilt thou ſtill be hammering trea",Bad
"ſon thus?"",""               Away I ſay, and let me heare no more."",""            "",""            "",""               Elnor."",""               How now my Lord! what, angry with your Nell"",""               For telling but her dreame? the next I haue"",""               Ile keepe to my ſelfe and not be rated thus."",""            "",""            "",""               Humph."",""               Nay Nell, ile giue no credit to a dreame,"",""               But I would haue thee to thinke on no ſuch things."",""              ",Bad
" Enters a Meſſenger."",""            "",""            "",""               Meſſen."",""               And it pleaſe your grace the King and Queene tomorrow morning will ride a hawking to Saint Albones, and craues your companie along with them."",""            "",""            "",""               Humph."",""               With all my heart I will attend his grace:"",""               Come Nell, thou wilt go with vs I am ſure."",""               exit Humphrey."",""            "",""            "",""               Elnor."",""   ",Bad
"            Ile come after you, for I cannot go before,"",""               But ere it be long ile go before them all,"",""               Deſpight of all that ſeeke to croſſe me thus,"",""               Who is within there?"",""               Enter ſir Iohn Hum."",""               VVhat ſir Iohn Hum, what newes with you?"",""            "",""            "",""               ſir Iohn."",""               Ieſus preſerue your maieſty."",""            "",""            "",""               Elnor."",""               My maieſtie, w",Bad
"hy man I am but grace,"",""            "",""            "",""               "",""               ſir Iohn"",""               Yea, but by the grace of God and Hums aduiſe,"",""               Your graces ſtate ſhall be aduanſt ere long."",""            "",""            "",""               Elnor."",""               What haſt thou conferd with Margery Iordane, the cunning witch of Ely, with Roger Bullinbrooke and the reſt, and will they vndertake to do me good?"",""            "",""            "",""               ſir Iohn"","" ",Bad
"              I haue Madam, and they haue promiſed me to raiſe a ſpirit from the depth of vnder ground, that ſhall tell your grace all queſtions you demaund."",""            "",""            "",""               Elnor."",""               Thanks good ſir Iohn, ſome two daies hence I geſſe"",""               Will fit our time, then ſee that they be here:"",""               For now the King is riding to Saint Albons,"",""               And all the Dukes and Earles along with him:"",""               When they be gon",Bad
"e, then ſafely they may come,"",""               And on the backſide of my Orchard here,"",""               There caſt their ſpells in ſilence of the night,"",""               And ſo reſolue of the thing we wiſh,"",""               Till when, drinke that for my ſa"",""                     ••"",""                  , and ſo farewell."",""               exit Elnor."",""            "",""            "",""               ſir Iohn"",""               Now ſir Iohn Hum, no words but mum,"",""               Seale vp your lips▪ for",Bad
" you muſt ſilent be,"",""               Theſe gifts ere long will make me mighty rich,"",""               The Dutches ſhe thinkes now that all is well,"",""               But I haue gold comes from another place,"",""               From one that hyred me to ſet her on,"",""               To plot theſe treaſons gainſt the King and Peeres,"",""               And that is the mightie duke of Suffolke,"",""               For he it is, but I muſt not ſay ſo,"",""               That by my meanes muſt worke the Dutches",Bad
" fall,"",""               Who now by coniurations thinkes to raiſe:"",""               But whiſt ſir Iohn, no more of that I trow,"",""               For feare you loſe your head before you go."",""               exit. Enter two Petitioners, and Peter the Armourer's man."",""            "",""            "",""               1 Peti."",""               Come ſirs, let vs linger here abouts a while,"",""               Vntill my Lord Protector come this way,"",""               "",""                  That we may ſhew his gr",Bad
"ace our ſeuerall cauſes."",""            "",""            "",""               2 Peti."",""               I pray God ſaue the good Humphries life,"",""               For but for him, a many were vndone,"",""               That can get no ſu"",""                     ••"",""                  our in the Court,"",""               But ſee where he comes with the Queene."",""               En"",""                     ••"",""                  r the Duke of Suffolke with the Queene, and they take him for Duke Humphrey, and giue",Bad
"s him their writings."",""            "",""            "",""               1 Peti."",""               Oh we are vndone, this is the Duke of Suffolke."",""            "",""            "",""               Queen"",""               Now good felows, whom w"",""                     ••"",""                  ld you ſpeak withal?"",""            "",""            "",""               2▪ Peti."",""               If it pleaſe your maieſtie, with my Lord Protectors Grace."",""            "",""            "",""               Queene"",""         ",Bad
"      Are your ſutes to his grace? let vs ſee them firſt,"",""               Looke on them my Lord of Suffolke."",""            "",""            "",""               Suffolke."",""               A complaint ag"",""                     •••••"",""                   the Cardinalls man,"",""               What hath he done?"",""            "",""            "",""               2 Peti."",""               Mary my lord, he hath ſtolne away my wife,"",""               And th'are gone togither, and I know not where to find them,"",""",Bad
"            "",""            "",""               Suffolk."",""               Hath he ſtolne thy wife, thats ſome iniury indeed,"",""               But what ſay you?"",""            "",""            "",""               Peter Thump."",""               Mary ſir I come to tell you that my maſter ſaid, that "",""                     〈◊〉"",""                   Duke of Yorke was true heire vnto the Crowne, and that the King was an vſurer."",""            "",""            "",""               Queene"",""               An vſurper th",Bad
"ou wouldſt ſay."",""            "",""            "",""               Peter"",""               Yea forſooth an vſurper."",""            "",""            "",""               Queene"",""               Didſt thou ſay the King was an vſurper?"",""            "",""            "",""               Peter"",""               No forſooth, I ſaid my maſter ſaid ſo, th'other day when we were ſcowring the Duke of Yorkes armour in our garret."",""            "",""            "",""               Suff."",""               Yea mary this is ſometh",Bad
"ing like,"",""               Who's within there?"",""               Enter one or two."",""               Sirra take this fellow and keepe him cloſe,"",""               And ſend out a Purſeuant for his maſter ſtraight,"",""               Weele heare more of this before the King."",""               "",""                  Exit with the Armourers "",""                     〈◊〉"",""                  ."",""               Now ſit whats yours? let me ſee it,"",""               VVhats here?"",""               A complaint againſt",Bad
" the Duke of Suffolke for incloſing the commons of long Melford."",""               How now ſir knaue?"",""            "",""            "",""               1 Peti"",""               I beſeech your grace to pardon mee, I am but a meſſenger for the whole towne-ſhip"",""               He teares the papers."",""            "",""            "",""               Suffolke."",""               So now ſhow your pention to Duke Humphrey."",""               Villames get ye gone, and come not neare the Court,"",""               Dare",Bad
" theſe peſants write againſt me thus?"",""               exeunt Petitioners."",""            "",""            "",""               Queene."",""               My Lord of Suffolke you may ſee by this,"",""               The Commons loues vnto that haughtie Duke,"",""               That ſeekes to him more then to King Henry,"",""               VVhoſe eies are alwaies poring on his booke,"",""               And ne're regards the honour of his name,"",""               But ſtill muſt be protected like a child,"",""         ",Bad
"      And gouerned by that ambitious Duke,"",""               That ſcarce will moue his cap nor ſpeake to vs,"",""               And his prowd wife, high minded Elanor,"",""               That ruffles it with ſuch a troope of ladies,"",""               As ſtrangers in the Court takes her for the Queene."",""               The other day ſhe vaunted to her maides,"",""               That the very traine of her worſt gowne,"",""               Was worth more wealth then all my fathers lands,"",""               Can ",Bad
"any griefe of mind be like to this?"",""               I tell thee Poole when thou didſt runne at Tilt,"",""               And ſtolſt away our ladies hearts in France,"",""               I thought King Henry had beene like to thee,"",""               Or elſe thou hadſt not brought me out of France."",""            "",""            "",""               Suffolk."",""               Madame, content your ſelfe a little while,"",""               As I was cauſe of your comming to England,"",""               So wil I in Eng",Bad
"land work your ful content:"",""               And as for prowd Duke Humphrey and his wife,"",""               I haue ſet lime-twigs that will intangle them,"",""               "",""                  As that your grace ere long ſhall vnderſtand."",""               But ſtay madame, here comes the King."",""               Enter King Henry, and the Duke of York and the Duke of Somerſet on both ſides of the King, whiſpering with him: and enter Duke Humphrey, Dame Elnor, the Duke of Buckingham, the Earle of Salſ",Bad
"bury, the Earle of Warwicke, and the Cardinall of Wincheſter."",""            "",""            "",""               King."",""               My lords, I care not who be Regent in Fraunce, or Yorke, or omerſet, alls one to me."",""            "",""            "",""               Yorke."",""               My lord, if Yorke haue ill demeande himſelfe,"",""               Let Somerſet enioy his place, and go to France."",""            "",""            "",""               Som."",""               Then whom your grace thinke wort",Bad
"hy, let him goe,"",""               And there be made the Regent ouer the French."",""            "",""            "",""               Warwicke"",""               Whom ſoeuer you account worthy,"",""               Yorke is the worthieſt."",""            "",""            "",""               Cardinall."",""               Peace Warwicke, giue thy betters leaue to ſpeak."",""            "",""            "",""               War."",""               The Cardinal's not my better in the field."",""            "",""            "",""      ",Bad
