Text,Label
""",""      "",""         "",""            "",""            "",""            THE True Tragedie of Richard the third: Wherein is ſhowne the death of Edward the fourth, with the ſmothering of the two yoong Princes in the Tower: With a lamentable ende of Shores wife, an example for all wicked women."",""            "",""            And laſtly, the coniunction and ioyning of the two noble Houſes, Lancaſter and Yorke."",""            "",""            As it was playd by the Queenes Maieſties Players."",""            "",""  ",Non
"             printer's device: McKerrow 299, \""Framed device of Truth being scourged by a hand from the clouds. Between her feet the initials T.C. The motto Viressit vulnere veritas.\"""",""               VIRESSIT VVLNERE VERITAS"",""               T C"",""            "",""            LONDON Printed by Thomas Creede, and are to be ſold by William Barley, at his ſhop in Newgate Market, neare Chriſt Church doore. 1594."",""         "",""      "",""      "",""         "",""            "",""            "",""            TH",Non
"E TRVE TRAGEDIE OF RICHARD THE THIRD."",""            Enters Truth and Poetrie. To them the Ghoaſt of George Duke of Clarence."",""            "",""            "",""               Ghoſt."",""               "",""                  CReſſe cruor ſanguinis, ſatietur ſanguine creſſe,"",""                  Quodſpero ſcitio. O ſcitio, ſcitio, vendicta."",""               "",""            "",""            Exit."",""            "",""               Poetrie."",""               Truth well met."",""            "",""            "",""        ",Non
"       Truth."",""               Thankes Poetrie, what makes thou vpon a ſtage?"",""            "",""            "",""               Poet."",""               Shadowes."",""            "",""            "",""               Truth."",""               "",""                  Then will I adde bodies to the ſhadowes,"",""                  Therefore depart and giue Truth leaue"",""                  To ſhew her pageant."",""               "",""            "",""            "",""               Poe."",""               Why will Truth be a Pla",Non
"yer?"",""            "",""            "",""               Truth"",""               "",""                  No, but Tragedia like for to preſent"",""                  A Tragedie in England done but late,"",""                  That will reuiue the hearts of drooping mindes."",""               "",""            "",""            "",""               Poe."",""               Whereof?"",""            "",""            "",""               Truth."",""               "",""                  Marry thus."",""                  Richard Plantagenet of",Non
" the Houſe of Yorke,"",""                  Claiming the Crowne by warres, not by diſſent,"",""                  Had as the Chronicles make manifeſt,"",""                  In the two and twentith yeare of Henry the ſixth,"",""                  By act of Parliament intailed to him"",""                  The Crowne and titles to that dignitie,"",""                  And to his ofſpring lawfully begotten,"",""                  "",""                     After the deceaſe of that forenamed King,"",""                  Yet",Non
" not contented for to ſtaie the time,"",""                  Made warres vpon King Henry then the ſixth,"",""                  And by outrage ſuppreſſed that vertuous King,"",""                  And wonne the Crowne of England to himſelfe,"",""                  But ſince at Wakefield in a battell pitcht,"",""                  Outragious Richard breathed his lateſt breath,"",""                  Leauing behind three branches of that line,"",""                  Three ſonnes: the firſt was Edward now the King,"","" ",Non
"                 George of Clarence, and Richard Glosters Duke,"",""                  Then Henry claiming after his deceaſe"",""                  His ſtile, his Crowne and former dignitie"",""                  Was quite ſuppreſſed, till this Edward the fourth."",""               "",""            "",""            "",""               Poe."",""               But tell me truth, of Henry what enſued?"",""            "",""            "",""               Tru."",""               "",""                  Impriſoned he, in the Tower",Non
" of London lies,"",""                  By ſtrict command, from Edward Englands King,"",""                  Since cruelly murthered, by Richard Gloſters Duke."",""               "",""            "",""            "",""               Poe."",""               Whoſe Ghoaſt was that did appeare to vs?"",""            "",""            "",""               Tru."",""               "",""                  It was the ghoſt of George the duke of Clarēce,"",""                  "",""                  Who was attected in King Edwards raign",Non
"e,"",""                  Falſly of Treaſon to his royaltie,"",""                  Impriſoned in the Tower was moſt vnnaturally,"",""                  By his owne brother, ſhame to parents ſtocke,"",""                  By Gloſters Duke drowned in a but of wine."",""               "",""            "",""            "",""               Poe."",""               What ſhield was that he let fall?"",""            "",""            "",""               Tru."",""               "",""                  A ſhield conteining this, in full ef",Non
